report_id;timestamp;capture_n;risk_score;risk_level;decision;rf_class;rf_confidence;n_critical;n_warnings;security_status;n_sec_events;latency_ms;packet_loss_pct;throughput_mbps;mos_proxy
RPT-20260504235441;2026-05-04 23:54:41;3;57.4;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;2;0;CLEAN;0;325.49;6.92;17.45;2.18
RPT-20260504235449;2026-05-04 23:54:49;4;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;49.61;0.02;45.04;4.25
RPT-20260504235457;2026-05-04 23:54:57;5;68.6;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;216.17;4.38;28.38;2.98
RPT-20260504235508;2026-05-04 23:55:08;1;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;34.57;0;46.54;4.33
RPT-20260504235516;2026-05-04 23:55:16;2;35.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;175.13;2.42;32.49;3.38
RPT-20260504235524;2026-05-04 23:55:24;3;57.4;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;2;0;CLEAN;0;316.08;7.04;18.39;2.22
RPT-20260504235532;2026-05-04 23:55:32;4;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;48.98;0;45.1;4.26
RPT-20260504235540;2026-05-04 23:55:40;5;70.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;HIGH;1;217.38;4.36;28.26;2.98
RPT-20260504235548;2026-05-04 23:55:48;6;33.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;57.6;0;44.24;4.21
RPT-20260504235556;2026-05-04 23:55:56;7;48.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;157.03;1.51;34.3;3.56
RPT-20260504235604;2026-05-04 23:56:04;8;33.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;27.09;0;47.29;4.36
RPT-20260504235612;2026-05-04 23:56:12;9;48.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;172.08;2.32;32.79;3.41
RPT-20260504235620;2026-05-04 23:56:20;10;70.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;HIGH;1;322.93;7.18;17.71;2.17
RPT-20260504235628;2026-05-04 23:56:28;11;33.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;48.97;0.37;45.1;4.22
RPT-20260504235636;2026-05-04 23:56:36;12;70.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;HIGH;1;207.68;4.55;29.23;3.01
RPT-20260504235644;2026-05-04 23:56:44;13;33.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;67.93;0;43.21;4.16
RPT-20260504235652;2026-05-04 23:56:52;14;48.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;146.2;1.73;35.38;3.6
RPT-20260504235700;2026-05-04 23:57:00;15;33.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;30.74;0.2;46.93;4.33
RPT-20260504235708;2026-05-04 23:57:08;16;48.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;187.1;2.31;31.29;3.33
RPT-20260504235725;2026-05-04 23:57:25;1;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;37.4;0.14;46.26;4.3
RPT-20260504235733;2026-05-04 23:57:33;2;35.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;176.2;2.49;32.38;3.37
RPT-20260504235741;2026-05-04 23:57:41;3;57.4;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;2;0;CLEAN;0;324.2;7.18;17.58;2.16
RPT-20260505093930;2026-05-05 09:39:30;1;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;23.99;0.28;47.6;4.35
RPT-20260505093938;2026-05-05 09:39:38;2;35.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;184.68;2.54;31.53;3.32
RPT-20260505093946;2026-05-05 09:39:46;3;57.4;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;2;0;CLEAN;0;315.71;7.15;18.43;2.21
RPT-20260505093954;2026-05-05 09:39:54;4;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;37.58;0;46.24;4.31
RPT-20260505094002;2026-05-05 09:40:02;5;68.8;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;215.52;4.53;28.45;2.97
RPT-20260505094010;2026-05-05 09:40:10;6;32.4;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;63.0;0.24;43.7;4.16
RPT-20260505094018;2026-05-05 09:40:18;7;47.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;143.27;1.55;35.67;3.63
RPT-20260505094026;2026-05-05 09:40:26;8;32.4;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;25.1;0;47.49;4.37
RPT-20260505094034;2026-05-05 09:40:34;9;47.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;186.21;2.71;31.38;3.3
RPT-20260505094042;2026-05-05 09:40:42;10;68.8;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;324.07;6.99;17.59;2.18
RPT-20260505094050;2026-05-05 09:40:50;11;32.3;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;49.32;0.26;45.07;4.23
RPT-20260505094058;2026-05-05 09:40:58;12;68.8;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;213.36;4.34;28.66;3.0
RPT-20260505094106;2026-05-05 09:41:06;13;32.3;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;57.36;0;44.26;4.21
RPT-20260505094114;2026-05-05 09:41:14;14;47.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;152.75;1.76;34.73;3.56
RPT-20260505094122;2026-05-05 09:41:22;15;32.3;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;30.78;0;46.92;4.35
RPT-20260505094130;2026-05-05 09:41:30;16;47.2;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;174.14;2.51;32.59;3.38
RPT-20260505094138;2026-05-05 09:41:38;17;68.8;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;314.74;7.06;18.53;2.22
RPT-20260505094146;2026-05-05 09:41:46;18;32.3;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;0;CLEAN;0;49.21;0.2;45.08;4.23
RPT-20260505094303;2026-05-05 09:43:03;1;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;32.16;0;46.78;4.34
RPT-20260505094311;2026-05-05 09:43:11;2;35.8;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;172.86;2.39;32.71;3.4
RPT-20260505094319;2026-05-05 09:43:19;3;57.4;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;2;0;CLEAN;0;325.57;6.94;17.44;2.18
RPT-20260505094327;2026-05-05 09:43:27;4;21.0;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;45.08;0.25;45.49;4.25
RPT-20260505094335;2026-05-05 09:43:35;5;66.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;213.94;4.53;28.61;2.98
RPT-20260505094343;2026-05-05 09:43:43;6;29.8;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;60.68;0.28;43.93;4.17
RPT-20260505094351;2026-05-05 09:43:51;7;44.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;144.21;1.62;35.58;3.62
RPT-20260505094359;2026-05-05 09:43:59;8;29.8;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;33.87;0.13;46.61;4.32
RPT-20260505094407;2026-05-05 09:44:07;9;44.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;187.57;2.42;31.24;3.32
RPT-20260505094415;2026-05-05 09:44:15;10;66.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;313.32;6.83;18.67;2.25
RPT-20260505094423;2026-05-05 09:44:23;11;29.8;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;39.18;0;46.08;4.3
RPT-20260505094431;2026-05-05 09:44:31;12;66.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;208.74;4.63;29.13;2.99
RPT-20260505094439;2026-05-05 09:44:39;13;29.8;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;62.74;0.19;43.73;4.17
RPT-20260505094447;2026-05-05 09:44:47;14;44.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;147.92;1.68;35.21;3.59
RPT-20260505094455;2026-05-05 09:44:55;15;29.8;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;23.47;0;47.65;4.38
RPT-20260505094503;2026-05-05 09:45:03;16;44.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;176.36;2.38;32.36;3.38
RPT-20260505094511;2026-05-05 09:45:11;17;66.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;322.86;7.23;17.71;2.16
RPT-20260505094519;2026-05-05 09:45:19;18;29.8;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;38.05;0;46.19;4.31
RPT-20260505094527;2026-05-05 09:45:27;19;66.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;207.5;4.52;29.25;3.01
RPT-20260505094536;2026-05-05 09:45:35;20;29.8;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;53.11;0;44.69;4.23
RPT-20260505094543;2026-05-05 09:45:43;21;44.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;154.05;1.38;34.6;3.59
RPT-20260505094551;2026-05-05 09:45:51;22;29.8;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;28.07;0;47.19;4.36
RPT-20260505094559;2026-05-05 09:45:59;23;44.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;173.18;2.23;32.68;3.41
RPT-20260505094607;2026-05-05 09:46:07;24;66.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;313.82;7.12;18.62;2.22
RPT-20260505094615;2026-05-05 09:46:15;25;29.8;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;48.05;0;45.2;4.26
RPT-20260505094623;2026-05-05 09:46:23;26;66.3;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;208.26;4.39;29.17;3.02
RPT-20260505094631;2026-05-05 09:46:31;27;29.8;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;56.36;0.18;44.36;4.2
RPT-20260505094639;2026-05-05 09:46:39;28;44.7;🟡 MODERE    — Situation a surveiller;🟡 SURVEILLANCE ROUTINE;—;0;0;1;CLEAN;0;152.57;1.75;34.74;3.56
RPT-20260505094647;2026-05-05 09:46:47;29;29.8;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;30.17;0;46.98;4.35
RPT-20260505094655;2026-05-05 09:46:55;30;28.5;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;1;CLEAN;0;176.0;2.65;32.4;3.36
RPT-20260505094703;2026-05-05 09:47:03;31;63.9;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;317.51;6.94;18.25;2.22
RPT-20260505094711;2026-05-05 09:47:11;32;27.2;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;47.35;0.35;45.27;4.23
RPT-20260505094719;2026-05-05 09:47:19;33;65.2;🟠 ELEVE     — Surveillance renforcee;🟠 ACTION URGENTE;—;0;2;0;MEDIUM;1;213.67;4.51;28.63;2.98
RPT-20260505094727;2026-05-05 09:47:27;34;27.2;🟢 FAIBLE    — Reseau stable;🟢 AUCUNE ACTION;—;0;0;0;CLEAN;0;54.43;0.0;44.56;4.23
